patent_id,wipo_field_sequence,wipo_field_id,wipo_sector_title,wipo_field_title
11202365,0,2.0,Electrical engineering,Audio-visual technology
7598576,0,8.0,Electrical engineering,Semiconductors
10094124,1,35.0,Other fields,Civil engineering
10668436,1,15.0,Chemistry,Biotechnology
7660265,0,4.0,Electrical engineering,Digital communication
8989395,1,6.0,Electrical engineering,Computer technology
4534504,0,25.0,Mechanical engineering,Handling
9000309,0,2.0,Electrical engineering,Audio-visual technology
8320775,0,9.0,Instruments,Optics
10415750,1,32.0,Mechanical engineering,Transport
9158801,0,6.0,Electrical engineering,Computer technology
8245097,1,5.0,Electrical engineering,Basic communication processes
5270196,0,15.0,Chemistry,Biotechnology
10368171,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
8023315,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
11019776,2,18.0,Chemistry,Food chemistry
10229472,2,12.0,Instruments,Control
7836665,0,25.0,Mechanical engineering,Handling
9875416,0,32.0,Mechanical engineering,Transport
5732176,1,9.0,Instruments,Optics
8642810,1,21.0,Chemistry,"Surface technology, coating"
9291955,0,9.0,Instruments,Optics
5048088,0,6.0,Electrical engineering,Computer technology
9169223,1,14.0,Chemistry,Organic fine chemistry
4695554,1,16.0,Chemistry,Pharmaceuticals
3942921,0,29.0,Mechanical engineering,Other special machines
4820472,0,27.0,Mechanical engineering,"Engines, pumps, turbines"
8783177,0,23.0,Chemistry,Chemical engineering
6287385,1,21.0,Chemistry,"Surface technology, coating"
7029123,1,2.0,Electrical engineering,Audio-visual technology
10376461,0,14.0,Chemistry,Organic fine chemistry
6930668,0,2.0,Electrical engineering,Audio-visual technology
8639378,1,31.0,Mechanical engineering,Mechanical elements
9560757,1,6.0,Electrical engineering,Computer technology
10232651,0,28.0,Mechanical engineering,Textile and paper machines
5120328,0,20.0,Chemistry,"Materials, metallurgy"
10847735,3,21.0,Chemistry,"Surface technology, coating"
6701275,0,10.0,Instruments,Measurement
5085755,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
4795926,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
7247477,1,15.0,Chemistry,Biotechnology
9268290,0,9.0,Instruments,Optics
6020258,0,8.0,Electrical engineering,Semiconductors
9251451,1,6.0,Electrical engineering,Computer technology
5463787,0,33.0,Other fields,"Furniture, games"
10647718,0,16.0,Chemistry,Pharmaceuticals
11335613,0,8.0,Electrical engineering,Semiconductors
7732478,0,16.0,Chemistry,Pharmaceuticals
9673225,2,9.0,Instruments,Optics
4906958,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
5845452,0,35.0,Other fields,Civil engineering
8272974,0,33.0,Other fields,"Furniture, games"
6269169,0,12.0,Instruments,Control
10117730,0,13.0,Instruments,Medical technology
9635939,0,33.0,Other fields,"Furniture, games"
10743469,2,12.0,Instruments,Control
10265911,2,6.0,Electrical engineering,Computer technology
6738082,0,6.0,Electrical engineering,Computer technology
4137663,0,29.0,Mechanical engineering,Other special machines
11136563,0,16.0,Chemistry,Pharmaceuticals
5857070,0,6.0,Electrical engineering,Computer technology
10613029,2,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
5943996,1,24.0,Chemistry,Environmental technology
7805519,2,6.0,Electrical engineering,Computer technology
4287269,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
