patent_id,raw_examiner_name_first,raw_examiner_name_last,examiner_role,art_group
D386500,Prabhakar G.                  ,Deshmukh,primary,
D646782,Bridget L,Eland,primary,2916.0
D306497,Louis S.,Zarfas,primary,
11101265,Eduardo A,Rodela,primary,2893.0
8830403,Victor,Kostak,primary,2422.0
10638330,Mohamed A,Kamara,primary,2412.0
6821703,Janis L.,Dote,primary,1756.0
9432378,Chau,Le,primary,2493.0
7946838,Joseph S,Del Sole,primary,1743.0
D928525,Mimosa,De,primary,2913.0
10001526,Vincent Q,Nguyen,primary,2866.0
8320320,Mounir,Moutaouakil,assistant,2476.0
10127246,Gregory M,Desire,primary,2668.0
9331353,Michael M,Bernshteyn,primary,1762.0
10078316,Tri,Hoang,primary,2827.0
6439721,George,Manuel,primary,3737.0
9142678,Tu-Tu,Ho,primary,2818.0
7631510,William E,Tapolcai,primary,3744.0
8302211,Minh,Dinh,primary,2432.0
9622631,Joseph J,Hail,primary,3723.0
4791060,Benoit,Castel,primary,
4457613,A. C.,Prescott,primary,
7283255,Gregory J.,"Toatley, Jr.",primary,2877.0
10907751,Beth A,Stephan,primary,3633.0
D749467,Melody N,Brown,primary,2917.0
5919859,Patrick D.,Niland,primary,
10367720,Kouroush,Mohebbi,primary,2471.0
5380946,Shailendra,Kumar,primary,
6713764,David,Porta,primary,2878.0
